index,OBJECT_ID,chi2,poly_params,vsini,Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,unknown,Gaia,2M,Simbad,_RA,_DE,simbadnames_x,ID_NAME,filename,exptime,sn18,qprog,rv,basenames,simbadnames_y
31,GJ_109,2.7202402713005505,"[-5.49148392e+06  1.86623368e+03 -7.05215224e-02 -3.98238164e-06
  3.38592173e-10 -6.39250259e-15]",1.3412437374034087,GL_109,3405,60,0.364,0.014,4.85,0.05,-0.1,0.08,0.34,0.03,9.72,0.51,132.4,10.6,D,2,1,Gaia,2M,Simbad,41.06462,25.52336,Karmn_J02442+255|PLX__555|LSPM_J0244+2531|ASCC__654779|UCAC2__40803044|2MASS_J02441537+2531249|USNO-B1.0_1155-00031777|1RXS_J024416.0+253134|8pc_132.42|AC_+25__7918|CSI+25-02413|Ci_20__180|G__36-31|GCRV__1544|GEN#_+6.10010109|GEN#_+9.80036031|GJ___109|HIC__12781|HIP__12781|JP11__5109|LFT__224|LHS__1439|LTT_10897|MCC_400|NLTT__8817|PM_02413+2519|Ross__556|TYC_1772-986-1|UBV_M__42925|UBV____2710|V*_VX_Ari|VVO__51|Zkh__46|[GKL99]__75|[GS83]__68|[RHG95]___492|PLX__555.00|RX_J0244.2+2531|[ZEH2003]_RX_J0244.2+2531__1|WISEA_J024416.15+253120.5|StKM_2-231|UCAC4_578-006105|PM_J02442+2531|GALEX_6377037839452865034|WEB__2599|Gaia_DR2_114207651462714880,Gaia_DR2_114207651462714880,../library/20201008_specmatch_nir/FITS/265_GL109/Slope-20181221T061620_R01.optimal.fits,649.65,501.3157958984375,PSU19-1-013,30.515882303306732,Slope-20181221T061620_R01.optimal.fits,Karmn_J02442+255|PLX__555|LSPM_J0244+2531|ASCC__654779|UCAC2__40803044|2MASS_J02441537+2531249|USNO-B1.0_1155-00031777|1RXS_J024416.0+253134|8pc_132.42|AC_+25__7918|CSI+25-02413|Ci_20__180|G__36-31|GCRV__1544|GEN#_+6.10010109|GEN#_+9.80036031|GJ___109|HIC__12781|HIP__12781|JP11__5109|LFT__224|LHS__1439|LTT_10897|MCC_400|NLTT__8817|PM_02413+2519|Ross__556|TYC_1772-986-1|UBV_M__42925|UBV____2710|V*_VX_Ari|VVO__51|Zkh__46|[GKL99]__75|[GS83]__68|[RHG95]___492|PLX__555.00|RX_J0244.2+2531|[ZEH2003]_RX_J0244.2+2531__1|WISEA_J024416.15+253120.5|StKM_2-231|UCAC4_578-006105|PM_J02442+2531|GALEX_6377037839452865034|WEB__2599|Gaia_DR2_114207651462714880
28,GJ_251,2.843113042396124,"[-9.62443140e+06  3.26893986e+03 -1.23414111e-01 -6.97515561e-06
  5.92500770e-10 -1.11798774e-14]",1.5193005321426218,HD_265866,3448,60,0.358,0.013,4.88,0.05,-0.02,0.08,0.35,0.04,9.66,0.52,180.3,10.1,D,1,1,Gaia,2M,Simbad,103.70399,33.26818,Karmn_J06548+332|2MASS_J06544902+3316058|IRAS_06515+3320|PLX_1609|LSPM_J0654+3316|TYC_2441-572-1|ASCC__574333|UCAC2__43431171|USNO-B1.0_1232-00178536|8pc_181.32|AC_+33_25644|CSI+33-06516|Ci_20__400|G__87-12|G_103-68|GCRV__4506|GEN#_+9.80087012|GEN#_+6.10010251|GJ___251|HD_265866|HIC__33226|HIP__33226|JP11__5122|JP11__5121|JP11__5123|JP11__5120|LFT__497|LHS__1879|LTT_11941|MCC_482|NLTT_17147|UBV_M__42939|Wolf__294|Zkh__95|[RHG95]__1094|PLX_1609.00|WISEA_J065448.38+331601.2|UCAC4_617-038292|StKM_2-440|PM_J06548+3316|Gaia_DR1_939072609037892224|WEB__6685|Gaia_DR2_939072613334579328,Gaia_DR2_939072613334579328,../library/20201008_specmatch_nir/FITS/261_265866/Slope-20200114T091114_R01.optimal.fits,617.7,568.272216796875,UT20-1-007,22.899544368519802,Slope-20200114T091114_R01.optimal.fits,Karmn_J06548+332|2MASS_J06544902+3316058|IRAS_06515+3320|PLX_1609|LSPM_J0654+3316|TYC_2441-572-1|ASCC__574333|UCAC2__43431171|USNO-B1.0_1232-00178536|8pc_181.32|AC_+33_25644|CSI+33-06516|Ci_20__400|G__87-12|G_103-68|GCRV__4506|GEN#_+9.80087012|GEN#_+6.10010251|GJ___251|HD_265866|HIC__33226|HIP__33226|JP11__5122|JP11__5121|JP11__5123|JP11__5120|LFT__497|LHS__1879|LTT_11941|MCC_482|NLTT_17147|UBV_M__42939|Wolf__294|Zkh__95|[RHG95]__1094|PLX_1609.00|WISEA_J065448.38+331601.2|UCAC4_617-038292|StKM_2-440|PM_J06548+3316|Gaia_DR1_939072609037892224|WEB__6685|Gaia_DR2_939072613334579328
77,GJ_436,3.399740319143067,"[-3.91261047e+06  1.32785647e+03 -5.00663711e-02 -2.83305173e-06
  2.40340994e-10 -4.53138988e-15]",1.0367348366029379,HIP_57087,3416,53,0.455,0.018000000000000002,4.83,0.03,0.04,0.1,0.45,0.03,9.62,0.52,102.6,10.6,E,1,1,Gaia,2M,Simbad,175.54622,26.70657000000001,Karmn_J11421+267|TYC_1984-2613-1|PLX_2704.1|1RXS_J114211.9+264328|LSPM_J1142+2642|ASCC__683818|UCAC2__41198281|2MASS_J11421096+2642251|USNO-B1.0_1167-00204205|AC_+27_28217|BPS_BS_15625-0002|CSI+26-11395|CSI+27-11395|CSI+27-11394|G_120-68|G_147-68|G_121-7|GCRV__7104|GEN#_+9.80120068|GJ___436|HIC__57087|HIP__57087|LFT__838|LHS___310|LP__319-75|LTT_13213|MCC_616|NLTT_28288|PM_11395+2700|Ross__905|VVO_171|Zkh_164|[RHG95]__1830|PLX_2704.10|Gaia_DR2_4017860992519744384|WISEA_J114211.79+264215.1|UCAC4_584-046777|StKM_2-754|PM_J11421+2642|Gaia_DR1_4017861056947245696|WEB_10275,Gaia_DR2_4017860992519744384,../library/20201008_specmatch_nir/FITS/401_HIP57087/Slope-20200208T064809_R01.optimal.fits,649.65,513.5943603515625,ENG20-1-003,9.568895452080044,Slope-20200208T064809_R01.optimal.fits,Karmn_J11421+267|TYC_1984-2613-1|PLX_2704.1|1RXS_J114211.9+264328|LSPM_J1142+2642|ASCC__683818|UCAC2__41198281|2MASS_J11421096+2642251|USNO-B1.0_1167-00204205|AC_+27_28217|BPS_BS_15625-0002|CSI+26-11395|CSI+27-11395|CSI+27-11394|G_120-68|G_147-68|G_121-7|GCRV__7104|GEN#_+9.80120068|GJ___436|HIC__57087|HIP__57087|LFT__838|LHS___310|LP__319-75|LTT_13213|MCC_616|NLTT_28288|PM_11395+2700|Ross__905|VVO_171|Zkh_164|[RHG95]__1830|PLX_2704.10|Gaia_DR2_4017860992519744384|WISEA_J114211.79+264215.1|UCAC4_584-046777|StKM_2-754|PM_J11421+2642|Gaia_DR1_4017861056947245696|WEB_10275
58,GJ_4070,4.206851660241339,"[-3.95493275e+05  1.32804482e+02 -4.92052774e-03 -2.82964920e-07
  2.35887868e-11 -4.39913265e-16]",1.7280347770729434,HIP_91699,3400,61,0.394,0.019,4.81,0.05,-0.16,0.08,0.37,0.04,9.75,0.51,92.8,11.3,D,1,1,Gaia,2M,Simbad,280.49598,31.83049,Gaia_DR1_2090085052225147264|TYC_2637-58-1|PM_J18419+3149|StKM_2-1388|UCAC4_610-064226|LSPM_J1841+3149|ASCC__604813|UCAC2__42953368|USNO-B1.0_1218-00336363|G_206-40|GJ__4070|HIC__91699|HIP__91699|LTT_15513|NLTT_46890|Ross__145|[RHG95]__2940|2MASS_J18415908+3149498|PLX_4317.03|Gaia_DR2_2090085056523454464,Gaia_DR2_2090085056523454464,../library/20201008_specmatch_nir/FITS/308_HIP91699/Slope-20200310T112118_R01.optimal.fits,969.15,253.50669860839844,UT20-1-008,-31.757517717217326,Slope-20200310T112118_R01.optimal.fits,Gaia_DR1_2090085052225147264|TYC_2637-58-1|PM_J18419+3149|StKM_2-1388|UCAC4_610-064226|LSPM_J1841+3149|ASCC__604813|UCAC2__42953368|USNO-B1.0_1218-00336363|G_206-40|GJ__4070|HIC__91699|HIP__91699|LTT_15513|NLTT_46890|Ross__145|[RHG95]__2940|2MASS_J18415908+3149498|PLX_4317.03|Gaia_DR2_2090085056523454464
34,GJ_250_B,4.498071493774866,"[ 6.59311593e+06 -2.23839387e+03  8.44480969e-02  4.77596541e-06
 -4.05405185e-10  7.64622579e-15]",0.34571495299106286,GL_250B,3481,60,0.46,0.017,4.76,0.05,0.14,0.03,0.44,0.04,9.69,0.52,,10.1,D,3,1,Gaia,2M,Simbad,103.07521,-5.19006,"Karmn_J06523-051SAB|NLTT_17108|[RHG95]__1092|Zkh__94|PM_06499-0508|LTT__2663|LHS__1876|LFT__495|GJ___250_B|GEN#_+1.00050281B|GSC_04808-00765|TYC_4808-765-1|2MASS_J06521804-0511241|CSI-05__1844__2|CCDM_J06523-0511B|IDS_06474-0503_B|WDS_J06523-0510B|**_WNO___17B|WDS_J06523-0510Ba,Bb|**_WSI__125|HD__50281B|UCAC4_425-023198|PM_J06523-0511|Gaia_DR2_3101920046552857728",Gaia_DR2_3101920046552857728,../library/20201008_specmatch_nir/FITS/268_GL250B/Slope-20200126T050642_R01.optimal.fits,649.65,478.31683349609375,UT20-1-008,-7.27487467847373,Slope-20200126T050642_R01.optimal.fits,"Karmn_J06523-051SAB|NLTT_17108|[RHG95]__1092|Zkh__94|PM_06499-0508|LTT__2663|LHS__1876|LFT__495|GJ___250_B|GEN#_+1.00050281B|GSC_04808-00765|TYC_4808-765-1|2MASS_J06521804-0511241|CSI-05__1844__2|CCDM_J06523-0511B|IDS_06474-0503_B|WDS_J06523-0510B|**_WNO___17B|WDS_J06523-0510Ba,Bb|**_WSI__125|HD__50281B|UCAC4_425-023198|PM_J06523-0511|Gaia_DR2_3101920046552857728"
32,GJ_2066,4.62158646236827,"[ 1.00848450e+07 -3.42350518e+03  1.29137857e-01  7.30449121e-06
 -6.19937711e-10  1.16913137e-14]",0.025779228589790405,GL_2066,3500,60,0.461,0.017,4.77,0.05,-0.12,0.08,0.45,0.04,9.78,0.51,112.0,10.1,D,1,1,Gaia,2M,Simbad,124.03326,1.30257,Karmn_J08161+013|LSPM_J0816+0118|TYC__196-1309-1|ASCC_1126826|UCAC2__32192525|USNO-B1.0_0913-00160889|G_113-20|GEN#_+9.80113020|GJ__2066|HIC__40501|HIP__40501|NLTT_19217|UBV_M__53750|[RHG95]__1299|2MASS_J08160798+0118091|PLX_1965.12|WISEA_J081607.71+011810.1|UCAC4_457-041317|StKM_2-486|PM_J08161+0118|Gaia_DR1_3089711374373226752|Gaia_DR2_3089711447388931584,Gaia_DR2_3089711447388931584,../library/20201008_specmatch_nir/FITS/266_GL2066/Slope-20200107T065409_R01.optimal.fits,649.65,499.47454833984375,UT20-1-008,62.18577776910301,Slope-20200107T065409_R01.optimal.fits,Karmn_J08161+013|LSPM_J0816+0118|TYC__196-1309-1|ASCC_1126826|UCAC2__32192525|USNO-B1.0_0913-00160889|G_113-20|GEN#_+9.80113020|GJ__2066|HIC__40501|HIP__40501|NLTT_19217|UBV_M__53750|[RHG95]__1299|2MASS_J08160798+0118091|PLX_1965.12|WISEA_J081607.71+011810.1|UCAC4_457-041317|StKM_2-486|PM_J08161+0118|Gaia_DR1_3089711374373226752|Gaia_DR2_3089711447388931584
24,LSPM_J1916+0510,4.661449222584737,"[-6.09884426e+05  2.05455376e+02 -7.65323232e-03 -4.37939797e-07
  3.67049439e-11 -6.86851100e-16]",1.6112726173257927,HD_180617,3558,60,0.474,0.016,4.76,0.05,0.1,0.08,0.47,0.05,9.7,0.52,169.4,9.1,D,1,1,Gaia,2M,Simbad,289.23024,5.1689,Karmn_J19169+051N|PLX_4494|UCAC2__33630690|LSPM_J1916+0510|ASCC_1070266|2MASS_J19165526+0510086|USNO-B1.0_0951-00432102|2E__4216|8pc_170.26A|AG+05_2703|BD+04__4048|CSI+04__4048__1|Ci_20_1143|DO__5540|G__22-22|G_142-24|GCRV_11733|GEN#_+1.00180617A|GJ___752_A|GSC_00472-01252|HD_180617|HIC__94761|HIP__94761|JP11__3084|LFT_1466|LHS___473|LTT_15645|MCC__65|NLTT_47619|PPM_167538|Ross__652|TYC__472-1252-1|UBV___16316|UBV_M__23632|V*_V1428_Aql|VVO__69|Wolf_1055|Zkh_288|[GKL99]_369|[HFE83]_1274|[RHG95]__3037|1E_191429+0505.5|2E_1914.4+0505|WDS_J19169+0510A|IRAS_19145+0505|CCDM_J19169+0510A|**_LDS_6334A|GJ___752|PM_19145+0505|GCRV_69237|PM_J19169+0510|UCAC4_476-093846|Gaia_DR1_4293318818833464832|WEB_16538|Gaia_DR2_4293318823182081408,Gaia_DR2_4293318823182081408,../library/20201008_specmatch_nir/FITS/257_180617/Slope-20190402T113658_R01.optimal.fits,63.90000000000001,288.44561767578125,PSU19-2-004,35.846163987676526,Slope-20190402T113658_R01.optimal.fits,Karmn_J19169+051N|PLX_4494|UCAC2__33630690|LSPM_J1916+0510|ASCC_1070266|2MASS_J19165526+0510086|USNO-B1.0_0951-00432102|2E__4216|8pc_170.26A|AG+05_2703|BD+04__4048|CSI+04__4048__1|Ci_20_1143|DO__5540|G__22-22|G_142-24|GCRV_11733|GEN#_+1.00180617A|GJ___752_A|GSC_00472-01252|HD_180617|HIC__94761|HIP__94761|JP11__3084|LFT_1466|LHS___473|LTT_15645|MCC__65|NLTT_47619|PPM_167538|Ross__652|TYC__472-1252-1|UBV___16316|UBV_M__23632|V*_V1428_Aql|VVO__69|Wolf_1055|Zkh_288|[GKL99]_369|[HFE83]_1274|[RHG95]__3037|1E_191429+0505.5|2E_1914.4+0505|WDS_J19169+0510A|IRAS_19145+0505|CCDM_J19169+0510A|**_LDS_6334A|GJ___752|PM_19145+0505|GCRV_69237|PM_J19169+0510|UCAC4_476-093846|Gaia_DR1_4293318818833464832|WEB_16538|Gaia_DR2_4293318823182081408
63,GJ_725_B,4.783545242386044,"[ 3.21768044e+06 -1.09579499e+03  4.15489312e-02  2.33893634e-06
 -1.99540227e-10  3.77512622e-15]",0.27091249248061433,HD_173740,3104,28,0.32299999999999995,0.006,4.92,0.01,-0.36,0.1,0.3,0.01,10.01,0.36,286.4,9.7,E,1,1,Gaia,2M,Simbad,280.6954,59.62688000000001,Karmn_J18427+596S|ASCC__201777|USNO-B1.0_1496-00255603|8pc_284.48B|ADS_11632_B|AG+59_1186|BD+59__1915B|CCDM_J18428+5937B|CSI+59__1915__2|Ci_20_1106|G_227-47|G_229-14|GC_25649|GCRV_11184|GJ___725_B|HD_173740|HIC__91772|HIP__91772|IDS_18415+5931_B|JP11__3021|LFT_1432|LHS____59|LTT_15523|NLTT_46948|PPM__36786|SAO__31129|UBV___15970|UBV_M__23216|YZ__59__9947|Zkh_281|[RHG95]__2946|2MASS_J18424688+5937374|LSPM_J1842+5937S|WDS_J18428+5938B|TYC_3930-1791-2|**_LDS_1466B|**_STF_2398B|WISE_J184245.01+593755.9|UCAC4_749-054799|PM_J18427+5937S|Gaia_DR1_2154877657540105216|WEB_15793|Gaia_DR2_2154880616772528384,Gaia_DR2_2154880616772528384,../library/20201008_specmatch_nir/FITS/341_173740/Slope-20190316T115749_R01.optimal.fits,298.2,618.7899780273438,PSU19-1-013,-0.7197764335829121,Slope-20190316T115749_R01.optimal.fits,Karmn_J18427+596S|ASCC__201777|USNO-B1.0_1496-00255603|8pc_284.48B|ADS_11632_B|AG+59_1186|BD+59__1915B|CCDM_J18428+5937B|CSI+59__1915__2|Ci_20_1106|G_227-47|G_229-14|GC_25649|GCRV_11184|GJ___725_B|HD_173740|HIC__91772|HIP__91772|IDS_18415+5931_B|JP11__3021|LFT_1432|LHS____59|LTT_15523|NLTT_46948|PPM__36786|SAO__31129|UBV___15970|UBV_M__23216|YZ__59__9947|Zkh_281|[RHG95]__2946|2MASS_J18424688+5937374|LSPM_J1842+5937S|WDS_J18428+5938B|TYC_3930-1791-2|**_LDS_1466B|**_STF_2398B|WISE_J184245.01+593755.9|UCAC4_749-054799|PM_J18427+5937S|Gaia_DR1_2154877657540105216|WEB_15793|Gaia_DR2_2154880616772528384
37,GJ_393,4.818608338806379,"[ 9.77024041e+06 -3.31614167e+03  1.25053480e-01  7.07526464e-06
 -6.00317648e-10  1.13193861e-14]",0.34288078566266933,GL_393,3548,60,0.42,0.016,4.82,0.05,-0.18,0.08,0.43,0.04,9.66,0.52,138.3,9.7,D,2,1,Gaia,2M,Simbad,157.23146,0.84101,PLX_2456|LSPM_J1028+0050|ASCC_1133482|UCAC2__32036240|USNO-B1.0_0908-00191111|8pc_138.29|AG+01_1298|BD+01__2447|Ci_20__580|G__55-24|G_162-60|GCRV__6576|GEN#_+0.00102447|GJ___393|GSC_00246-01068|HIC__51317|HIP__51317|JP11_____7|LFT__719|LHS__2272|LTT_12805|MCC_127|NC_28|NLTT_24467|PPM_156874|Ross__446|TYC__246-1068-1|UBV____9694|UBV_M____156|UBV____9672|VVO_262|Zkh_142|[ATZ98]_C060|[RHG95]__1642|2MASS_J10285555+0050275|PLX_2456.00|1RXS_J102855.9+005023|RX_J1028.9+0050|ASAS_J102856+0050.5|WISEA_J102855.13+005020.1|UCAC4_455-050081|StKM_2-642|PM_J10289+0050|GALEX_6381928538042272148|WEB__9373|Gaia_DR2_3855208897392952192,Gaia_DR2_3855208897392952192,../library/20201008_specmatch_nir/FITS/271_GL393/Slope-20200114T104423_R01.optimal.fits,436.65,427.8175659179688,UT20-1-008,8.299900005929857,Slope-20200114T104423_R01.optimal.fits,PLX_2456|LSPM_J1028+0050|ASCC_1133482|UCAC2__32036240|USNO-B1.0_0908-00191111|8pc_138.29|AG+01_1298|BD+01__2447|Ci_20__580|G__55-24|G_162-60|GCRV__6576|GEN#_+0.00102447|GJ___393|GSC_00246-01068|HIC__51317|HIP__51317|JP11_____7|LFT__719|LHS__2272|LTT_12805|MCC_127|NC_28|NLTT_24467|PPM_156874|Ross__446|TYC__246-1068-1|UBV____9694|UBV_M____156|UBV____9672|VVO_262|Zkh_142|[ATZ98]_C060|[RHG95]__1642|2MASS_J10285555+0050275|PLX_2456.00|1RXS_J102855.9+005023|RX_J1028.9+0050|ASAS_J102856+0050.5|WISEA_J102855.13+005020.1|UCAC4_455-050081|StKM_2-642|PM_J10289+0050|GALEX_6381928538042272148|WEB__9373|Gaia_DR2_3855208897392952192
35,GJ_273,5.168717768845959,"[-2.70482087e+07  9.17947858e+03 -3.46100693e-01 -1.95849035e-05
  1.66142964e-09 -3.13239118e-14]",3.6179316573247142,GL_273,3317,60,0.315,0.012,4.89,0.05,-0.11,0.08,0.28,0.03,9.85,0.49,263.3,9.9,D,2,1,Gaia,2M,Simbad,111.85208,5.22579,Karmn_J07274+052|Gaia_DR2_3139847906304421632|PLX_1755|LSPM_J0727+0513|ASCC_1029189|UCAC2__33555673|USNO-B1.0_0952-00140898|8pc_263.26|AC2000__282902|BD+05__1668|G_112-17|G__89-19|GAT_1092|GCRV__4954|GEN#_+0.00501668|GJ___273|GSC_00173-01124|HIC__36208|HIP__36208|IRAS_07247+0520|JP11____25|LFT__527|LHS____33|LTT_12021|MCC__17|NAME_Luyten's_star|NLTT_17881|PM_07247+0522|RAFGL__273|TYC__173-3208-1|UBV____7206|UBV_M____272|VVO_207|Zkh_102|[HFE83]__515|[JHC84]__57|[RHG95]__1168|2MASS_J07272450+0513329|PLX_1755.00|PM_J07274+0513|WEB__7213,Gaia_DR2_3139847906304421632,../library/20201008_specmatch_nir/FITS/269_GL273/Slope-20191115T085605_R01.optimal.fits,298.2,661.79248046875,ENG19-3-003,18.1541811021219,Slope-20191115T085605_R01.optimal.fits,Karmn_J07274+052|Gaia_DR2_3139847906304421632|PLX_1755|LSPM_J0727+0513|ASCC_1029189|UCAC2__33555673|USNO-B1.0_0952-00140898|8pc_263.26|AC2000__282902|BD+05__1668|G_112-17|G__89-19|GAT_1092|GCRV__4954|GEN#_+0.00501668|GJ___273|GSC_00173-01124|HIC__36208|HIP__36208|IRAS_07247+0520|JP11____25|LFT__527|LHS____33|LTT_12021|MCC__17|NAME_Luyten's_star|NLTT_17881|PM_07247+0522|RAFGL__273|TYC__173-3208-1|UBV____7206|UBV_M____272|VVO_207|Zkh_102|[HFE83]__515|[JHC84]__57|[RHG95]__1168|2MASS_J07272450+0513329|PLX_1755.00|PM_J07274+0513|WEB__7213
