ticid,target,teff,std teff,logg,std logg,feh,std feh,vsini,std vsini,max_period_1_gls,max_period_1_gls_fap
400024907,2MASS_J01135101+3505220,3471.41,63.5857,4.802752,0.022167,-0.01715,0.093491,1.361302,0.410078,11.54867872,1
156691155,2MASS_J14253465+2540050,3080.044,0.038287,5.049995,3.47E-05,-1.60E-01,6.41E-05,2.37E-01,0.122536,24.54481843,1
459977474,2MASS_J17023016+6145060,3374.503,32.94598,4.88E+00,1.30E-02,-6.78E-02,1.75E-02,1.00E+00,0.739769,12.45528935,1.77E-30
359313701,2MASS_J17520294+5636278,3324.978,2.82E+01,4.83E+00,0.057537,-0.01604,7.84E-02,8.15E+00,9.01E-01,0.900380299,1.95E-69
233738219,2MASS_J18312179+6454132,3261.508,27.57945,4.959359,0.027372,-1.56E-01,0.043134,9.33E+00,2.112882,1.316854123,6.57E-75
406517901,2MASS_J19162483+8413411,,,,,,,,,2.605512348,1
414587194,2MASS_J22275958+5741453,,,,,,,,,5.18345966,0.000564322
298907057,2MASSI_J0440232-053008,3080.108,0.087438,5.04993,7.74E-05,-1.60E-01,7.88E-05,7.94E+00,0.527442,25.99170056,4.62E-22
154101678,EV_Lac,3319.736,70.9808,4.954199,0.098386,-1.76E-01,0.129871,7.27E+00,1.025384,4.610022366,4.30E-19
233068870,G_227-22,3101.36,20.85383,5.048723,0.019217,-1.60E-01,0.021842,1.21E+01,0.56814,0.280155768,3.63E-82
365369408,GJ_1055,3146.557,1.47E+01,5.06E+00,2.40E-02,-2.18E-01,3.63E-02,2.39E-01,5.90E-02,12.96614533,1
436856183,GJ_109,3405.003,0.017225,4.850002,9.71E-06,-0.09999,3.97E-05,0.300766,0.133465,4.739666653,1
3664898,GJ_1111,3080.061,0.025593,5.049978,2.69E-05,-0.16003,4.27E-05,6.912007,0.201494,0.461710735,1.60E-08
11893637,GJ_1151,3186.051,18.18705,5.063424,4.35E-02,-2.54E-01,7.82E-02,2.34E-01,0.124928,6.132557117,1
236770208,GJ_1225,3225.004,14.10866,5.056213,3.03E-02,-2.81E-01,4.39E-02,1.21E+00,0.25207,4.90042809,1
420130591,GJ_1238,,,,,,,,,0.300126329,1
274127413,GJ_1245_B,3080.079,0.044049,5.049987,2.74E-05,-0.16003,3.42E-05,4.555174,0.304043,0.263684847,1.36E-33
356322721,GJ_169.1_A,3311.026,15.47035,4.894292,2.88E-02,-0.02219,5.73E-02,0.430907,0.477616,5.012754278,1
247463344,GJ_213,3292.525,3.390307,4.92769,0.005492,-1.17E-01,0.001478,1.00E+00,0.20292,2.721482819,1
68581262,GJ_251,3447.991,0.007605,4.879994,9.34E-06,-2.00E-02,2.81E-05,3.46E-01,0.104207,0.165521052,1
321103619,GJ_268_B,3368.652,7.51E+01,4.94E+00,4.10E-02,-0.12355,7.59E-02,5.23E+00,8.62E-01,5.26359294,0.000294275
318686860,GJ_273,3320.182,2.739199,4.889771,2.04E-03,-0.0925,1.15E-02,0.461049,0.257529,4.890776853,1
